Timestamp,Humidity,Temperature,Distance,Status
2025-04-14T13:01:51.025Z,50,24,"Out of range",Out of range
2025-04-14T13:01:45.350Z,50,24,"Out of range",Out of range
2025-04-14T13:01:39.698Z,50,24,"Out of range",Out of range
2025-04-14T13:01:34.298Z,50,24,"Out of range",Out of range
2025-04-14T13:01:28.470Z,50,24,"Out of range",Out of range
2025-04-14T13:01:22.828Z,50,24,"Out of range",Out of range
2025-04-14T13:01:17.086Z,50,24,"Out of range",Out of range
2025-04-14T13:01:11.427Z,50,24,"Out of range",Out of range
2025-04-14T13:01:05.811Z,50,24,"Out of range",Out of range
2025-04-14T13:01:00.204Z,50,24,"Out of range",Out of range
2025-04-14T13:00:54.504Z,50,24,"Out of range",Out of range
2025-04-14T13:00:48.824Z,50,24,"Out of range",Out of range
2025-04-14T13:00:43.155Z,50,24,"Out of range",Out of range
2025-04-14T13:00:37.505Z,49,24,"Out of range",Out of range
2025-04-14T13:00:31.906Z,49,24,"Out of range",Out of range
2025-04-14T13:00:26.279Z,49,24,"Out of range",Out of range
2025-04-14T13:00:20.580Z,49,24,"Out of range",Out of range
2025-04-14T13:00:16.094Z,49,24,"Out of range",Out of range
2025-04-14T13:00:09.238Z,49,24,"Out of range",Out of range
2025-04-14T13:00:03.618Z,49,24,"Out of range",Out of range
2025-04-14T12:59:57.998Z,49,24,"Out of range",Out of range
2025-04-14T12:59:52.328Z,49,24,"Out of range",Out of range
2025-04-14T12:59:46.678Z,49,24,"Out of range",Out of range
2025-04-14T12:59:40.974Z,49,24,"Out of range",Out of range
2025-04-14T12:59:35.311Z,49,24,"Out of range",Out of range
2025-04-14T12:59:29.694Z,49,24,"Out of range",Out of range
2025-04-14T12:59:24.034Z,49,24,"Out of range",Out of range
2025-04-14T12:59:18.359Z,49,24,"Out of range",Out of range
2025-04-14T12:59:12.685Z,49,24,"Out of range",Out of range
2025-04-14T12:59:07.035Z,49,24,"Out of range",Out of range
2025-04-14T12:59:01.448Z,49,24,"Out of range",Out of range
2025-04-14T12:58:57.773Z,49,24,"Out of range",Out of range
2025-04-14T12:58:50.242Z,49,24,"Out of range",Out of range
2025-04-14T12:58:44.549Z,49,24,"Out of range",Out of range
2025-04-14T12:58:38.768Z,49,24,"Out of range",Out of range
2025-04-14T12:58:33.119Z,49,24,"Out of range",Out of range
2025-04-14T12:58:27.495Z,49,24,"Out of range",Out of range
2025-04-14T12:58:21.822Z,49,24,"Out of range",Out of range
2025-04-14T12:58:16.240Z,49,24,"Out of range",Out of range
2025-04-14T12:58:10.530Z,49,24,"Out of range",Out of range
2025-04-14T12:58:04.850Z,49,24,"Out of range",Out of range
2025-04-14T12:57:59.202Z,49,24,"Out of range",Out of range
2025-04-14T12:57:53.691Z,49,24,"Out of range",Out of range
2025-04-14T12:57:47.957Z,49,24,"Out of range",Out of range
2025-04-14T12:57:42.400Z,49,24,"Out of range",Out of range
2025-04-14T12:57:36.577Z,49,24,"Out of range",Out of range
